Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity
PR-010,Product 10,C1,box,L,90,100,20
PR-011,Product 11,C2,box,M,95,105,20
PR-012,Product 12,C3,box,S,100,110,20
PR-013,Product 13,C4,box,L,105,115,20
PR-014,Product 14,C5,box,M,110,120,20
PR-015,Product 15,C6,box,S,115,125,20
PR-016,Product 16,C7,box,L,120,130,20
PR-017,Product 17,C8,box,M,125,135,20
PR-018,Product 18,C9,box,S,130,140,20
PR-019,Product 19,C10,box,L,135,145,20
PR-020,Product 20,C11,box,M,140,150,20
PR-021,Product 21,C12,box,S,145,155,20
PR-022,Product 22,C13,box,L,150,160,20
PR-023,Product 23,C14,box,M,155,165,20
PR-024,Product 24,C15,box,S,160,170,20
